#,Character,Character ID,Win (D1 n=3),Verdict,Weapon type,Weapon set,Max weapons,Harvest cap,Top stats (weight),Mechanisms,Guide
36,Golem,character_golem,1/3,wins 1/3 (set-lock works; spoon leak dilutes it),melee,set_blunt,6,30,armor(10) > max_hp(9) > attack_speed(6) > percent_damage(5),"set=set_blunt, phase_boost to w6",commonsensegamer.com/brotato-best-golem-build
37,King,character_king,2/3,wins 2/3 (v2 -- harness tier-2 start was the fix),ranged,,6,25,ranged_damage(9) > crit_chance(8) > attack_speed(6) > max_hp(6),phase_boost to w7,gamepressure.com/brotato-king-build
38,Renegade,character_renegade,2/3,wins 2/3,ranged,,6,35,attack_speed(9) > lifesteal(8) > ranged_damage(7) > max_hp(6),"hitrate_pref, phase_boost to w6",commonsensegamer.com/brotato-best-renegade-build
39,One-Armed,character_one_arm,1/3,wins 1/3 (v2 spend-the-gold),ranged,,1,25,ranged_damage(10) > percent_damage(8) > attack_speed(7) > crit_chance(6),"spend_surplus, max_weapons=1, phase_boost to w6",commonsensegamer.com/brotato-best-one-armed-weapon-build
40,Bull,character_bull,1/3,wins 1/3 (weaponless explosion tank -- pleasant surprise),any,,6,25,hp_regeneration(10) > armor(9) > max_hp(9) > percent_damage(6),"spend_surplus, phase_boost to w6",number13.de/brotato-bull-build
41,Soldier,character_soldier,0/3,wins 0/3 (bimodal -- steering-sensitive),ranged,,6,25,crit_chance(9) > attack_speed(8) > ranged_damage(8) > percent_damage(6),phase_boost to w6,number13.de/brotato-soldier-build
42,Masochist,character_masochist,1/3,wins 1/3,melee,,6,25,hp_regeneration(10) > armor(8) > max_hp(8) > melee_damage(7),phase_boost to w6,number13.de/brotato-masochist-build
43,Knight,character_knight,1/3,wins 1/3 (bimodal -- slow-melee opener),melee,,6,0,armor(10) > melee_damage(8) > crit_chance(6) > dodge(6),phase_boost to w6,brotato-builds.com/builds/Knight
44,Demon,character_demon,1/3,wins 1/3 (HP-currency works; over-spend risk),ranged,,6,20,max_hp(10) > ranged_damage(8) > attack_speed(7) > lifesteal(6),phase_boost to w6,metabrotato.com/blog/brotato-demon-build-the-ultimate-guide
45,Baby,character_baby,3/3,WON 3/3 (weapon-stacking -- max_weapons was the key),melee,,18,60,harvesting(8) > max_hp(7) > melee_damage(7) > attack_speed(6),"max_weapons=18, phase_boost to w7",brotatodex.com/character/character_baby
46,Vagabond,character_vagabond,1/3,wins 1/3,any,,6,15,percent_damage(10) > attack_speed(7) > max_hp(7) > armor(6),"unique_weapons, phase_boost to w7",number13.de/brotato-vagabond-build
47,Technomage,character_technomage,2/3,wins 2/3,any,set_elemental,6,25,elemental_damage(10) > engineering(9) > attack_speed(7) > max_hp(6),"set=set_elemental, phase_boost to w7",number13.de/brotato-technomage-build
48,Vampire,character_vampire,0/3,"wins 0/3 (low-HP design, boundary)",melee,,6,30,lifesteal(10) > attack_speed(9) > armor(7) > melee_damage(7),"hitrate_pref, phase_boost to w6",number13.de/brotato-vampire-build
49,Beast Master,character_beast_master,2/3,wins 2/3 (pet item_bonus was the fix),any,,6,55,harvesting(9) > speed(8) > melee_damage(7) > ranged_damage(6),"spend_surplus, item_bonus, phase_boost to w7",brotato-builds.com/builds/Beast-Master
50,Wounded,character_wounded,0/3,"wins 0/3 (1-hit death, boundary)",melee,,6,35,dodge(10) > speed(9) > melee_damage(8) > attack_speed(7),phase_boost to w6,brotato.wiki.fextralife.com/Wounded
